🕘️更新时间,#genre#
2025-04-19 06:59:28,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080

📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-1,http://dsj.motem.top:8880/gaoma/cctv1.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-1,http://nas.suntao.online:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-1,http://yc.myds.me:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-2,http://goo.bkpcp.top/mg/CCTV2$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-2,http://dsj.motem.top:8880/gaoma/cctv2.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-2,http://nas.suntao.online:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-3,http://dsj.motem.top:8880/gaoma/cctv3.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-3,http://nas.suntao.online:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-3,http://yc.myds.me:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-4,http://z.b.bkpcp.top/m.php?id=CCTV-4国际$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-4,http://dsj.motem.top:8880/gaoma/cctv4.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-4,http://nas.suntao.online:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5,http://dsj.motem.top:8880/gaoma/cctv5.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5,http://nas.suntao.online:35455/itv/1000000005000025222.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5,http://yc.myds.me:35455/itv/1000000005000025222.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5+,http://dsj.motem.top:8880/gaoma/cctv5p.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5+,http://nas.suntao.online:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5+,http://yc.myds.me:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-6,http://yc.myds.me:35455/itv/1000000001000001737.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-6,http://nas.suntao.online:35455/itv/1000000001000001737.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-7,http://goo.bkpcp.top/mg/CCTV7$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-7,http://dsj.motem.top:8880/gaoma/cctv7.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-7,http://nas.suntao.online:35455/itv/1000000001000024341.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-8,http://goo.bkpcp.top/mg/cctv8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-8,http://dsj.motem.top:8880/gaoma/cctv8.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-8,http://nas.suntao.online:35455/itv/1000000005000265008.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-9,http://dsj.motem.top:8880/gaoma/cctv9.m3u8$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-9,http://nas.suntao.online:35455/itv/1000000001000014583.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
CCTV-9,http://yc.myds.me:35455/itv/1000000001000014583.m3u8?cdn=ystenlive$订阅源-IPv6-1920x1080-IPv6-1920x1080-IPv6-1920x1080
